Accuracy_train_h24_w256_ov64_300s,Loss_train_h24_w256_ov64_300s,Accuracy_train_h36_w256_ov64_300s,Loss_train_h36_w256_ov64_300s,Accuracy_train_h48_w256_ov64_300s,Loss_train_h48_w256_ov64_300s,Accuracy_train_h36-48_w256_ov64_300s,Loss_train_h36-48_w256_ov64_300s,Accuracy_train_h12-24_w128_ov64_40s,Loss_train_h12-24_w128_ov64_40s,Accuracy_train_h24-36_w128_ov64_40s,Loss_train_h24-36_w128_ov64_40s,Accuracy_train_h36-48_w128_ov64_40s,Loss_train_h36-48_w128_ov64_40s,Accuracy_train_h24-36-48_w128_ov64_40s,Loss_train_h24-36-48_w128_ov64_40s,Accuracy_train_h12-24-36-48_w128_ov64_40s,Loss_train_h12-24-36-48_w128_ov64_40s
0.402777791,0.707512736,0.416666687,0.723658264,0.401639313,0.642416179,0.608695686,0.671558499,0.400000006,0.715941191,0.403100789,0.700006604,0.58914727,0.687425017,0.402010053,0.656853735,0.396551728,0.753271461
0.402777791,0.708501995,0.416666687,0.704482466,0.401639313,0.670632839,0.608695686,0.704786539,0.400000006,0.718438476,0.403100789,0.70252803,0.58914727,0.678460628,0.402010053,0.672513813,0.396551728,0.72421509
0.402777791,0.69907858,0.427777797,0.708442827,0.415300518,0.680423439,0.608695686,0.692880233,0.400000006,0.707855999,0.467700263,0.696081618,0.58914727,0.665572365,0.467336675,0.68047905,0.396551728,0.713843882
0.437500015,0.700833872,0.433333352,0.705736339,0.453893416,0.68190974,0.608695686,0.696749032,0.45000001,0.698264077,0.5,0.69377102,0.61240308,0.673951358,0.496231154,0.682979628,0.398706898,0.711333588
0.48055557,0.698154593,0.463333356,0.700192082,0.443442595,0.679107833,0.600000024,0.690439332,0.475714296,0.697692657,0.480620158,0.6922616,0.609302306,0.673284245,0.499497485,0.688189983,0.42758621,0.705181563
0.479166682,0.70806845,0.483333359,0.699088544,0.464480847,0.682850281,0.613526593,0.694926818,0.483333344,0.696909765,0.503875971,0.693523198,0.577519362,0.68309024,0.51591289,0.689649473,0.456896553,0.706769149
0.462301599,0.699816201,0.509523835,0.702004799,0.461943767,0.684852455,0.61076607,0.694313186,0.481632663,0.696687264,0.517165005,0.694097076,0.579180492,0.68660278,0.52763818,0.686887681,0.471674877,0.70866985
0.453125011,0.697505228,0.52708336,0.699406847,0.475409809,0.689127468,0.617753647,0.686889336,0.485714298,0.698211245,0.527131781,0.694910362,0.564922463,0.686667204,0.535175867,0.686197005,0.480603449,0.704758078
0.466049396,0.701018572,0.535185211,0.699433572,0.485883398,0.690399746,0.621578124,0.671426952,0.488095247,0.695415179,0.534883718,0.695460558,0.559862173,0.671603402,0.542155206,0.689463291,0.488505748,0.699676414
0.486111125,0.704878241,0.548333359,0.696517164,0.490983579,0.692148817,0.611594224,0.698229313,0.498571435,0.697669184,0.541860461,0.694580716,0.555813941,0.696529084,0.536683404,0.690702122,0.495689654,0.70176397
0.498737387,0.697057128,0.553030328,0.701802324,0.489940359,0.691437618,0.606060624,0.686868435,0.490909097,0.6978458,0.548273428,0.695818478,0.549682864,0.698994626,0.538602092,0.691309203,0.500783698,0.703425765
