Accuraccy_train_h24-28-32_w200_ov64_120-500s,Loss_train_h24-28-32_w200_ov64_120-500s,Accuraccy_train_h24-30-36_w200_ov64_120s-500s,Loss_train_h24-30-36_w200_ov64_120s-500s,Accuraccy_train_h28-30-32_w200_ov64_120-500s,Loss_train_h28-30-32_w200_ov64_120-500s,Accuraccy_train_h28-32-36_w200_ov64_120s-500s,Loss_train_h28-32-36_w200_ov64_120s-500s,Accuraccy_train_h32-34-36_w200_ov64_120-500s,Loss_train_h32-34-36_w200_ov64_120-500s,Accuraccy_train_h38-40-42_w200_ov64_120s-500s,Loss_train_h38-40-42_w200_ov64_120s-500s,Accuraccy_train_h42-44-46_w200_ov64_120s-500s,Loss_train_h42-44-46_w200_ov64_120s-500s,Accuraccy_train_h24-28-32-36_w200_ov64_120-500s,Loss_train_h24-28-32-36_w200_ov64_120-500s,Accuraccy_train_h30-32-34-36_w200_ov64_120s-500s,Loss_train_h30-32-34-36_w200_ov64_120s-500s
0.589353621,0.667624891,0.586734653,0.657438695,0.592039764,0.633507729,0.595959604,0.682977796,0.592964828,0.711317658,0.404255301,0.693711221,0.600000024,0.714775145,0.407407403,0.715565622,0.594696999,0.727301717
0.589353621,0.690034151,0.586734653,0.683285803,0.592039764,0.65824002,0.595959604,0.681209475,0.592964828,0.700184464,0.404255301,0.692697197,0.600000024,0.706576198,0.407407403,0.712482303,0.594696999,0.740534008
0.624841571,0.675079803,0.588435352,0.680379689,0.620232145,0.656434715,0.629629632,0.667345564,0.623115579,0.69112732,0.460992893,0.696801066,0.600000024,0.710709453,0.407407403,0.703879337,0.628787915,0.706546704
0.634980991,0.658805624,0.59311223,0.643238202,0.620646745,0.708063111,0.642676771,0.683682263,0.621859297,0.668175563,0.478723392,0.692641452,0.595833361,0.705952972,0.483333319,0.68893756,0.610795483,0.692137241
0.645627379,0.643285036,0.583673453,0.630445671,0.617910433,0.688203633,0.644444442,0.696548212,0.623115575,0.642333806,0.492553174,0.700289226,0.584444475,0.70346911,0.52592591,0.672720659,0.610606086,0.691381216
0.650190115,0.649938951,0.584183653,0.637638052,0.613598655,0.694657465,0.641414136,0.668115328,0.623953094,0.647806982,0.509751757,0.707813859,0.580555588,0.708626856,0.544444432,0.67805322,0.620580832,0.685981611
0.629549154,0.655036756,0.593294442,0.644251611,0.625444191,0.69549564,0.647186143,0.641932628,0.631012201,0.647112693,0.503799375,0.707676905,0.578571456,0.708498342,0.566137552,0.676863304,0.628787901,0.684037949
0.613117866,0.658702664,0.602678552,0.631706104,0.636815906,0.690091699,0.656565651,0.636792626,0.634422109,0.626070939,0.519946788,0.708157174,0.571527801,0.710530207,0.583333321,0.661735311,0.630681843,0.688461155
0.601605402,0.658965972,0.602607694,0.607110023,0.628524032,0.688234952,0.654882153,0.629359454,0.616973754,0.641040219,0.532505886,0.70342648,0.564197554,0.703113317,0.599999991,0.653991388,0.627525277,0.691075802
0.596577942,0.659024972,0.59081631,0.604444665,0.633830833,0.698268771,0.65151515,0.639125237,0.614070347,0.638964278,0.539361677,0.701747984,0.563333356,0.700055921,0.614074063,0.644676918,0.622727299,0.681351447
0.591773239,0.657621768,0.576530597,0.611905699,0.634554489,0.709614326,0.656106521,0.668638964,0.609410684,0.635753339,0.539651814,0.704197889,0.562626286,0.694779369,0.625589214,0.630557759,0.619834737,0.673492047
0.588403036,0.661976914,0.580357129,0.623389378,0.640547251,0.708214109,0.659511785,0.648779951,0.601340028,0.642994449,0.542996429,0.694966286,0.568981503,0.692412416,0.631481469,0.62579532,0.617739926,0.684109146
0.587306224,0.659141541,0.58673468,0.62196627,0.643704543,0.694192011,0.663947165,0.643410699,0.604947812,0.647781863,0.546235655,0.69825431,0.574358995,0.693651557,0.639886026,0.626860655,0.615967393,0.684950269
0.591254749,0.656048243,0.583454796,0.612419141,0.643212497,0.702873417,0.665584415,0.641807358,0.605168698,0.662974294,0.544832802,0.703133281,0.568253988,0.691481824,0.647089933,0.621399092,0.60687232,0.686664011
0.598225598,0.649474569,0.58673468,0.599363832,0.643449406,0.714942133,0.667340068,0.63606262,0.602010049,0.661015431,0.546453875,0.706159349,0.574444463,0.693988506,0.649382703,0.61530896,0.603787903,0.686055636
0.603612162,0.645115715,0.588647947,0.609232437,0.645211428,0.702741597,0.668876264,0.652624628,0.605841706,0.669529263,0.543882953,0.696445052,0.57500002,0.697722528,0.652314801,0.609556828,0.602746237,0.685714751
0.608588678,0.643962464,0.585234081,0.626803058,0.646180847,0.684326966,0.670528819,0.659341288,0.609222579,0.663865892,0.547872314,0.697545094,0.57614381,0.700460683,0.654466215,0.608477105,0.604723731,0.686970974
